GEOID,CensusTract,State,County,Urban,Pop2010,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_Vehicle
04013092724,04013092724,Arizona,Maricopa County,1,3472,1,13.9364919354839,51151.0,0,1,1
04013092801,04013092801,Arizona,Maricopa County,1,4756,1,47.8514588859416,24020.0,0,1,1
04013092802,04013092802,Arizona,Maricopa County,1,5217,1,34.0269277845777,33098.0,0,1,0
04013092900,04013092900,Arizona,Maricopa County,1,2866,1,44.864,26908.0,0,0,0
04013093001,04013093001,Arizona,Maricopa County,1,4841,1,28.2626905679343,39375.0,0,1,1
04013093002,04013093002,Arizona,Maricopa County,1,4082,1,41.6240409207161,31083.0,0,1,0
04013093101,04013093101,Arizona,Maricopa County,1,4547,1,21.261378413524103,39181.0,0,1,0
04013093104,04013093104,Arizona,Maricopa County,1,4385,1,41.3965087281795,30294.0,0,1,1
04013093105,04013093105,Arizona,Maricopa County,1,5242,1,39.75803778588,32392.0,0,1,0
04013093106,04013093106,Arizona,Maricopa County,1,4068,1,33.235602094240804,46100.0,0,1,0
04013093200,04013093200,Arizona,Maricopa County,1,3355,1,20.6772134332501,45450.0,1,1,1
04013103205,04013103205,Arizona,Maricopa County,1,2652,0,7.1866485013623995,90125.0,0,0,0
04013103206,04013103206,Arizona,Maricopa County,1,2521,0,3.4167659912594397,128092.0,0,0,0
04013103207,04013103207,Arizona,Maricopa County,1,2459,0,1.88679245283019,140063.0,0,0,0
04013103208,04013103208,Arizona,Maricopa County,1,3927,0,5.71499257793172,93350.0,0,0,0
04013103209,04013103209,Arizona,Maricopa County,1,5353,0,5.28511821974965,138558.0,0,0,0
04013103210,04013103210,Arizona,Maricopa County,1,6044,1,22.1086448598131,58333.0,0,0,0
04013103211,04013103211,Arizona,Maricopa County,1,4395,0,4.243717401612139,93182.0,0,0,0
04013103212,04013103212,Arizona,Maricopa County,1,4245,0,4.5551601423487496,107772.0,0,0,0
04013103214,04013103214,Arizona,Maricopa County,1,3852,0,4.41107461285781,118438.0,0,0,0
04013103215,04013103215,Arizona,Maricopa County,1,2779,0,11.8459069020867,96083.0,0,0,0
04013103216,04013103216,Arizona,Maricopa County,1,5192,0,6.327193932827741,93750.0,0,0,0
04013103217,04013103217,Arizona,Maricopa County,1,6295,0,6.1372983233154095,87587.0,0,0,0
04013103219,04013103219,Arizona,Maricopa County,1,3012,0,3.59872611464968,121100.0,0,0,0
